Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Aqgromalin,2019.0,Chennai,AgriTech,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000 ,Seed,,Chennai,India
Krayonnz,2019.0,Bangaluru,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000 ,Pre-Seed,,Bangaluru,India
PadCare Labs,2018.0,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,,Pre-Seed,,Pune,India
NCOME,2020.0,New Delhi,Escrow,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000 ,Seed,,New Delhi,India
Gramophone,2016.0,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000 ,Seed,,Indore,India
qZense,2019.0,Bangaluru,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000 ,Seed,,Bangaluru,India
MyClassboard,2008.0,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000 ,Pre-Series A,,Hyderabad,India
Metvy,2018.0,Gurgaon,Networking,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,,Pre-Series,,Gurgaon,India
Rupeek,2015.0,Bangaluru,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000 ,Series C,,Bangaluru,India
Gig India,2017.0,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000 ,Pre-Series A,,Pune,India
Slurrp Farm,2016.0,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000 ,Series A,,Gurgaon,India
Medfin,2017.0,Bangaluru,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",,Series A,,Bangaluru,India
MasterG,2015.0,New Delhi,Fashion,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,,Seed,,New Delhi,India
Brila 91,2014.0,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000 ,Seed,,New Delhi,India
